EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Work_Location,Home_Location,Home_State,Office_State,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
140937,40,MMII,277,9.5,7,380.0,3,Active,,,7,East,Retail Banking Group,Kolkata,Uttar Pradesh,Delhi,Tamil Nadu,0,0.7,13.0,Low,8888
512461,55,MMI,1177,5.9,6,324.5,3,Active,,,6,East,Credit,Kolkata,Karnataka,Maharashtra,Telangana,0,1.35,24.09,Low,8888
307937,28,AMII,550,4.4,3,123.2,3,Active,,,2,East,Retail Banking Group,Kolkata,Karnataka,Gujarat,Uttar Pradesh,15,3.21,53.52,Medium,3333
187821,35,MMI,996,3.2,6,112.0,3,Active,,,6,East,Retail Banking Group,Kolkata,West Bengal,Tamil Nadu,Telangana,0,1.21,40.61,Medium,6666
736402,39,CM,618,8.8,8,343.2,3,Active,,,3,West,Operations Group,Mumbai,Tamil Nadu,Telangana,West Bengal,0,0.6,52.23,Medium,5555
781209,24,MMII,431,8.2,7,196.8,3,Active,,,7,North,Retail Banking Group,New Delhi,Karnataka,Tamil Nadu,West Bengal,0,0.88,12.17,Low,2222
720230,43,MMI,1478,7.7,6,331.1,3,Active,,,6,West,Retail Banking Group,Mumbai,Gujarat,Karnataka,Gujarat,0,2.31,38.34,Low,8888
912391,25,AMII,922,1.8,3,45.0,3,Active,,,2,West,Retail Banking Group,Mumbai,West Bengal,Tamil Nadu,Uttar Pradesh,67,3.68,75.43,High,6666
118675,26,CM,58,6.6,8,171.6,2,Active,,,3,West,Retail Banking Group,Mumbai,Delhi,Telangana,Maharashtra,0,0.37,36.84,Low,2222
302361,41,AMI,923,2.5,2,102.5,3,Active,,,1,East,Retail Banking Group,Kolkata,Tamil Nadu,Gujarat,Maharashtra,0,4.66,28.44,Low,5555
853594,51,MMI,816,7.7,6,392.7,3,Active,,,6,South,Retail Banking Group,Chennai,Gujarat,Telangana,Uttar Pradesh,0,1.22,49.74,Medium,1111
522606,48,DMII,750,6.3,5,302.4,3,Active,,,5,North,Credit,New Delhi,Gujarat,Maharashtra,Maharashtra,0,1.58,32.61,Low,6666
690831,36,CM,584,6.4,8,230.4,3,Active,,,3,South,Retail Banking Group,Chennai,Delhi,West Bengal,Gujarat,0,0.5,49.24,Medium,9999
640867,23,DMI,1024,0.2,4,4.600000000000001,3,Active,,,4,West,Retail Banking Group,Mumbai,Tamil Nadu,Karnataka,West Bengal,0,2.47,49.89,Medium,1111
301108,52,DMI,836,3.1,4,161.2,3,Active,,,4,West,Retail Banking Group,Mumbai,West Bengal,Maharashtra,Telangana,0,1.85,26.29,Low,3333
165878,33,AMII,887,7.2,3,237.6,3,Active,,,2,South,Wholesale Banking,Chennai,Maharashtra,Tamil Nadu,Gujarat,63,4.9,73.59,High,7777
405144,50,DMI,1660,4.3,4,215.0,3,Active,,,4,South,Retail Banking Group,Chennai,Tamil Nadu,Uttar Pradesh,Karnataka,0,4.05,26.84,Low,4444
461301,54,DMII,1281,5.5,5,297.0,3,Active,,,5,South,Retail Banking Group,Chennai,Delhi,Tamil Nadu,West Bengal,0,2.12,32.6,Low,9999
490754,44,AMII,27,0.1,3,4.4,1,Active,,,2,West,Operations Group,Mumbai,Gujarat,Maharashtra,Telangana,0,1.23,42.4,Medium,3333
908857,23,DMII,1451,4.0,5,92.0,3,Active,,,5,West,Retail Banking Group,Mumbai,West Bengal,Gujarat,West Bengal,2,3.19,39.19,Low,5555
426751,47,MMI,1548,0.3,6,14.1,3,Active,,,6,North,Retail Banking Group,New Delhi,Tamil Nadu,West Bengal,Gujarat,0,1.3,37.7,Low,3333
397949,32,AMII,1269,4.0,3,128.0,3,Active,,,2,North,Credit,New Delhi,Maharashtra,Delhi,West Bengal,82,5.26,70.27,High,7777
225295,26,DMI,98,5.4,4,140.4,2,Active,,,4,West,Transaction Banking,Mumbai,Maharashtra,Gujarat,Uttar Pradesh,0,1.68,7.76,Low,5555
664709,47,CM,882,6.6,8,310.2,3,Active,,,3,South,Transaction Banking,Chennai,Karnataka,Delhi,Delhi,0,0.57,35.12,Low,9999
544683,41,MMII,410,8.6,7,352.6,3,Active,,,7,South,Credit,Chennai,Karnataka,Telangana,Telangana,0,0.72,17.88,Low,7777
102475,44,SO,867,0.2,1,259.6,3,Active,,,8,North,Retail Banking Group,New Delhi,Uttar Pradesh,Gujarat,Telangana,0,5.25,27.06,Low,2222
873824,51,AMII,852,1.2,3,61.2,3,Active,,,2,West,Retail Banking Group,Mumbai,Delhi,Delhi,Gujarat,16,2.41,58.66,Medium,4444
225284,33,ALT,937,15.0,9,495.0,3,Active,,,0,North,Retail Banking Group,New Delhi,Tamil Nadu,West Bengal,Telangana,0,0.93,25.01,Low,9999
733216,43,CM,1889,5.6,8,240.8,3,Active,,,3,North,Retail Banking Group,New Delhi,Tamil Nadu,Karnataka,West Bengal,0,1.26,41.33,Medium,2222
823236,47,SO,1858,0.6,1,263.2,3,Active,,,8,East,Retail Banking Group,Kolkata,Uttar Pradesh,Gujarat,Maharashtra,1,11.15,28.94,Low,9999
781546,36,ALT,1935,14.8,9,532.8000000000001,3,Active,,,0,East,Operations Group,Kolkata,Gujarat,West Bengal,Tamil Nadu,0,2.0,45.89,Medium,5555
142237,43,DMI,1788,5.7,4,245.1,3,Active,,,4,East,Retail Banking Group,Kolkata,Gujarat,Telangana,Tamil Nadu,0,5.42,44.29,Medium,2222
647640,38,MMII,23,8.3,7,315.4,1,Active,,,7,South,Wholesale Banking,Chennai,Uttar Pradesh,Telangana,Telangana,0,0.53,18.77,Low,4444
750415,45,ALT,1906,13.8,9,621.0,3,Active,,,0,West,Retail Banking Group,Mumbai,Gujarat,Tamil Nadu,Delhi,0,1.61,50.42,Medium,7777
273148,34,ALT,1965,12.7,9,431.8,3,Active,,,0,West,Operations Group,Mumbai,Karnataka,Uttar Pradesh,Tamil Nadu,0,1.78,30.3,Low,8888
434982,42,AMII,706,3.0,3,126.0,3,Active,,,2,West,Operations Group,Mumbai,Tamil Nadu,West Bengal,Telangana,5,2.75,61.93,Medium,3333
642667,37,AMI,537,6.6,2,244.2,3,Active,,,1,West,Wholesale Banking,Mumbai,Uttar Pradesh,West Bengal,Maharashtra,0,4.93,53.31,Medium,1111
346901,27,MMII,1669,7.0,7,189.0,3,Active,,,7,East,Transaction Banking,Kolkata,Tamil Nadu,Telangana,Karnataka,0,2.12,48.12,Medium,4444
340644,25,AMII,550,0.8,3,20.0,3,Active,,,2,South,Retail Banking Group,Chennai,Maharashtra,Tamil Nadu,Telangana,70,2.52,77.59,High,2222
332361,22,AMII,413,5.4,3,118.8,3,Active,,,2,South,Retail Banking Group,Chennai,Karnataka,Tamil Nadu,Telangana,0,3.35,56.18,Medium,8888
191947,26,MMI,813,4.7,6,122.2,3,Active,,,6,East,Retail Banking Group,Kolkata,West Bengal,West Bengal,Telangana,1,1.31,48.18,Medium,4444
976203,35,MMI,1749,5.8,6,203.0,3,Active,,,6,South,Retail Banking Group,Chennai,Karnataka,Gujarat,Telangana,0,2.74,34.52,Low,2222
911575,56,ALT,1071,10.2,9,571.1999999999999,3,Active,,,0,East,Operations Group,Kolkata,Uttar Pradesh,Karnataka,Telangana,0,0.53,34.72,Low,6666
120373,28,DMII,118,2.7,5,75.60000000000002,2,Active,,,5,West,Retail Banking Group,Mumbai,West Bengal,West Bengal,Karnataka,5,0.91,28.54,Low,6666
627694,56,AMII,704,6.7,3,375.2,3,Active,,,2,East,Credit,Kolkata,Maharashtra,Delhi,Karnataka,10,3.08,48.34,Medium,4444
285598,22,DMII,1370,1.7,5,37.4,3,Active,,,5,West,Retail Banking Group,Mumbai,Uttar Pradesh,Gujarat,Uttar Pradesh,0,2.53,53.96,Medium,6666
845842,39,MMI,470,1.6,6,62.400000000000006,3,Active,,,6,West,Retail Banking Group,Mumbai,Delhi,Tamil Nadu,Karnataka,0,0.66,36.33,Low,2222
106146,43,DMI,744,0.2,4,8.6,3,Active,,,4,North,Retail Banking Group,New Delhi,Tamil Nadu,Gujarat,Uttar Pradesh,0,1.53,33.24,Low,2222
184650,34,DMII,1584,4.4,5,149.6,3,Active,,,5,East,Transaction Banking,Kolkata,Maharashtra,Gujarat,Maharashtra,0,3.19,40.29,Medium,4444
127697,56,MMII,162,8.3,7,464.80000000000007,2,Active,,,7,North,Retail Banking Group,New Delhi,Tamil Nadu,Tamil Nadu,Tamil Nadu,0,0.47,32.66,Low,8888
741733,32,MMII,1230,5.7,7,182.4,3,Active,,,7,East,Retail Banking Group,Kolkata,Gujarat,Maharashtra,Gujarat,0,1.26,26.06,Low,7777
342503,56,MMI,770,2.2,6,123.2,3,Active,,,6,East,Retail Banking Group,Kolkata,Delhi,Karnataka,Gujarat,0,0.71,46.63,Medium,9999
796365,57,ALT,1904,12.1,9,689.6999999999999,3,Active,,,0,North,Retail Banking Group,New Delhi,Delhi,Tamil Nadu,Gujarat,0,1.21,40.42,Medium,8888
523106,34,AMII,661,5.8,3,197.2,3,Active,,,2,North,Credit,New Delhi,Maharashtra,West Bengal,Tamil Nadu,13,3.64,58.17,Medium,5555
363598,57,SO,316,0.4,1,421.8,3,Active,,,8,East,Retail Banking Group,Kolkata,Delhi,Maharashtra,Delhi,0,2.93,37.93,Low,2222
726144,49,MMII,516,9.2,7,450.8,3,Active,,,7,South,Credit,Chennai,West Bengal,Gujarat,Uttar Pradesh,0,0.74,55.48,Medium,5555
918710,22,ALT,1171,10.9,9,239.8,3,Active,,,0,West,Credit,Mumbai,Delhi,West Bengal,Karnataka,0,0.94,33.89,Low,8888
957570,41,AMI,1300,1.0,2,41.0,3,Active,,,1,North,Credit,New Delhi,Tamil Nadu,Gujarat,Uttar Pradesh,0,5.6,27.13,Low,9999
695822,56,DMII,1682,4.2,5,235.2,3,Active,,,5,West,Retail Banking Group,Mumbai,Tamil Nadu,Gujarat,Uttar Pradesh,0,2.59,41.19,Medium,9999
749920,44,AMI,1276,2.2,2,96.8,3,Active,,,1,South,Retail Banking Group,Chennai,Uttar Pradesh,Uttar Pradesh,West Bengal,0,5.8,30.75,Low,1111
875260,47,AMII,1753,4.3,3,202.1,3,Active,,,2,South,Operations Group,Chennai,Tamil Nadu,Maharashtra,Tamil Nadu,74,6.56,77.69,High,9999
525664,23,SO,1720,1.3,1,59.8,3,Active,,,8,South,Credit,Chennai,Uttar Pradesh,Tamil Nadu,Maharashtra,0,13.84,29.31,Low,7777
638387,28,AMII,937,5.0,3,140.0,3,Active,,,2,North,Retail Banking Group,New Delhi,Tamil Nadu,Karnataka,Delhi,12,4.58,59.59,Medium,9999
459569,42,AMII,588,4.6,3,193.2,3,Active,,,2,South,Transaction Banking,Chennai,West Bengal,Gujarat,Karnataka,10,2.83,52.28,Medium,8888
437427,56,MMI,574,0.8,6,44.8,3,Active,,,6,North,Transaction Banking,New Delhi,Uttar Pradesh,Delhi,Gujarat,0,0.54,45.21,Medium,1111
521681,53,SO,951,1.5,1,137.8,3,Active,,,8,South,Retail Banking Group,Chennai,Karnataka,Uttar Pradesh,Maharashtra,0,5.56,25.46,Low,8888
790154,33,ALT,71,13.0,9,429.0,2,Active,,,0,West,Retail Banking Group,Mumbai,Gujarat,Uttar Pradesh,Uttar Pradesh,0,0.39,18.68,Low,8888
532741,28,AMII,1578,6.0,3,168.0,3,Active,,,2,West,Retail Banking Group,Mumbai,Maharashtra,Maharashtra,Gujarat,2,8.14,61.49,Medium,3333
688573,24,ALT,1514,12.9,9,309.6,3,Active,,,0,East,Transaction Banking,Kolkata,Tamil Nadu,Karnataka,Telangana,0,1.42,39.57,Low,1111
941400,55,CM,282,5.8,8,319.0,3,Active,,,3,West,Retail Banking Group,Mumbai,Delhi,Karnataka,Maharashtra,0,0.29,30.05,Low,8888
665978,55,ALT,878,10.9,9,599.5,3,Active,,,0,East,Retail Banking Group,Kolkata,Tamil Nadu,West Bengal,Tamil Nadu,0,0.48,35.95,Low,3333
219406,52,AMI,655,4.5,2,234.0,3,Active,,,1,West,Retail Banking Group,Mumbai,Delhi,Delhi,Gujarat,0,3.84,46.89,Medium,3333
957297,39,AMI,73,5.2,2,202.8,2,Active,,,1,North,Retail Banking Group,New Delhi,Gujarat,Uttar Pradesh,Maharashtra,0,2.98,23.48,Low,1111
211347,44,CM,1762,6.9,8,303.6,3,Active,,,3,West,Operations Group,Mumbai,Gujarat,Uttar Pradesh,West Bengal,0,1.24,42.15,Medium,5555
693875,47,CM,531,8.1,8,380.7,3,Active,,,3,East,Retail Banking Group,Kolkata,Gujarat,Maharashtra,Telangana,0,0.48,41.92,Medium,7777
841384,36,AMII,85,5.6,3,201.6,2,Active,,,2,East,Retail Banking Group,Kolkata,Delhi,Maharashtra,Delhi,0,2.2,41.22,Medium,9999
482841,38,DMI,1313,6.9,4,262.2,3,Active,,,4,South,Operations Group,Chennai,Tamil Nadu,Uttar Pradesh,Delhi,0,4.34,50.01,Medium,7777
273308,46,CM,1138,6.8,8,312.8,3,Active,,,3,North,Retail Banking Group,New Delhi,Gujarat,Tamil Nadu,Uttar Pradesh,0,0.72,42.73,Medium,9999
423471,24,DMII,749,3.9,5,93.6,3,Active,,,5,West,Operations Group,Mumbai,West Bengal,West Bengal,Uttar Pradesh,1,1.77,37.22,Low,8888
842595,34,AMI,813,4.8,2,163.2,3,Active,,,1,South,Operations Group,Chennai,Uttar Pradesh,Uttar Pradesh,Tamil Nadu,0,5.54,41.52,Medium,2222
110406,30,CM,1064,6.1,8,183.0,3,Active,,,3,West,Retail Banking Group,Mumbai,Delhi,Gujarat,Tamil Nadu,0,0.78,53.16,Medium,1111
136888,42,MMII,873,7.0,7,294.0,3,Active,,,7,West,Retail Banking Group,Mumbai,Delhi,Telangana,Karnataka,0,0.91,38.44,Low,7777
126546,28,DMI,6,4.6,4,128.8,1,Active,,,4,South,Retail Banking Group,Chennai,Tamil Nadu,Delhi,Maharashtra,7,1.43,11.02,Low,7777
866450,41,DMI,1382,5.0,4,205.0,3,Active,,,4,South,Transaction Banking,Chennai,Delhi,Karnataka,Maharashtra,0,3.82,31.41,Low,8888
125280,57,ALT,1837,12.5,9,712.5,3,Active,,,0,South,Retail Banking Group,Chennai,Delhi,Gujarat,Karnataka,0,1.18,35.19,Low,5555
510757,50,CM,390,6.7,8,335.0,3,Active,,,3,South,Transaction Banking,Chennai,Gujarat,Karnataka,West Bengal,0,0.37,25.23,Low,3333
284063,24,SO,452,0.6,1,141.6,3,Active,,,8,South,Operations Group,Chennai,Tamil Nadu,West Bengal,Maharashtra,0,4.97,11.64,Low,8888
278362,47,CM,1972,8.4,8,394.8,3,Active,,,3,West,Retail Banking Group,Mumbai,Gujarat,Uttar Pradesh,Telangana,0,1.6,56.43,Medium,6666
862525,35,MMII,1432,8.3,7,290.5,3,Active,,,7,South,Operations Group,Chennai,Uttar Pradesh,Tamil Nadu,Delhi,0,1.75,37.3,Low,3333
440865,30,AMI,75,6.3,2,189.0,2,Active,,,1,North,Retail Banking Group,New Delhi,Uttar Pradesh,Delhi,Maharashtra,0,3.63,33.44,Low,1111
141729,48,CM,1164,8.9,8,427.2,3,Active,,,3,East,Transaction Banking,Kolkata,Gujarat,Delhi,Telangana,0,0.85,26.14,Low,3333
220192,28,MMII,1732,9.2,7,257.6,3,Active,,,7,South,Wholesale Banking,Chennai,Uttar Pradesh,Maharashtra,Karnataka,0,2.61,46.34,Medium,5555
885202,33,SO,362,1.3,1,75.89999999999998,3,Active,,,8,South,Retail Banking Group,Chennai,Tamil Nadu,Maharashtra,Uttar Pradesh,0,4.38,8.68,Low,3333
538136,50,AMII,1121,4.2,3,210.0,3,Active,,,2,West,Retail Banking Group,Mumbai,Maharashtra,West Bengal,Uttar Pradesh,79,3.82,76.36,High,1111
167072,33,ALT,719,14.0,9,462.0,3,Active,,,0,South,Retail Banking Group,Chennai,Gujarat,Uttar Pradesh,West Bengal,0,0.72,33.89,Low,5555
994983,41,SO,524,1.3,1,188.6,3,Active,,,8,South,Retail Banking Group,Chennai,West Bengal,West Bengal,Tamil Nadu,0,4.52,37.67,Low,7777
669175,22,AMI,1159,4.1,2,90.2,3,Active,,,1,South,Transaction Banking,Chennai,West Bengal,Delhi,Maharashtra,0,7.93,47.23,Medium,7777
392618,25,DMII,1363,5.5,5,137.5,3,Active,,,5,West,Transaction Banking,Mumbai,Delhi,Telangana,Maharashtra,0,3.25,36.13,Low,9999
527742,45,DMI,780,2.9,4,130.5,3,Active,,,4,South,Wholesale Banking,Chennai,Uttar Pradesh,Gujarat,Telangana,0,1.9,28.41,Low,3333
890309,32,DMI,199,3.2,4,102.4,2,Active,,,4,East,Retail Banking Group,Kolkata,West Bengal,West Bengal,Karnataka,0,1.42,21.24,Low,7777
443269,33,CM,651,8.4,8,277.2,3,Active,,,3,West,Operations Group,Mumbai,Delhi,Gujarat,Karnataka,0,0.64,53.23,Medium,1111
707848,25,MMI,919,3.6,6,90.0,3,Active,,,6,East,Wholesale Banking,Kolkata,Maharashtra,Gujarat,Telangana,0,1.33,30.57,Low,4444
221412,24,MMII,892,6.5,7,156.0,3,Active,,,7,West,Transaction Banking,Mumbai,Tamil Nadu,Telangana,Gujarat,0,1.12,28.5,Low,4444
388002,44,SO,15,1.9,1,83.6,1,Active,,,8,South,Transaction Banking,Chennai,Tamil Nadu,Karnataka,Maharashtra,0,3.04,16.22,Low,5555
112765,26,CM,1779,8.7,8,226.2,3,Active,,,3,East,Wholesale Banking,Kolkata,Tamil Nadu,Telangana,Gujarat,0,1.82,32.87,Low,7777
343764,37,SO,526,0.9,1,207.2,3,Active,,,8,West,Retail Banking Group,Mumbai,West Bengal,Uttar Pradesh,Tamil Nadu,0,4.61,24.0,Low,7777
464060,48,CM,1957,5.7,8,273.6,3,Active,,,3,North,Retail Banking Group,New Delhi,Maharashtra,Maharashtra,Uttar Pradesh,0,1.26,42.24,Medium,4444
910932,22,AMII,1515,6.9,3,151.8,3,Active,,,2,South,Retail Banking Group,Chennai,West Bengal,Delhi,Gujarat,12,8.89,47.74,Medium,7777
986803,56,DMII,1507,1.8,5,100.8,3,Active,,,5,West,Transaction Banking,Mumbai,Uttar Pradesh,Telangana,Uttar Pradesh,0,1.86,25.0,Low,3333
357070,55,DMI,726,1.0,4,55.0,3,Active,,,4,North,Retail Banking Group,New Delhi,West Bengal,Uttar Pradesh,Uttar Pradesh,0,1.38,54.72,Medium,6666
823563,57,ALT,1694,14.3,9,815.1,3,Active,,,0,West,Transaction Banking,Mumbai,Maharashtra,Karnataka,Telangana,0,1.21,26.68,Low,2222
555576,48,CM,1626,5.6,8,268.8,3,Active,,,3,North,Retail Banking Group,New Delhi,Maharashtra,Uttar Pradesh,Gujarat,0,0.95,24.52,Low,9999
606263,47,DMI,828,5.9,4,277.3,3,Active,,,4,South,Wholesale Banking,Chennai,Uttar Pradesh,West Bengal,Karnataka,0,2.43,45.94,Medium,5555
549427,47,CM,792,6.3,8,296.1,3,Active,,,3,East,Retail Banking Group,Kolkata,Maharashtra,Telangana,Karnataka,0,0.51,42.1,Medium,6666
503012,23,MMII,890,7.7,7,177.1,3,Active,,,7,North,Credit,New Delhi,Maharashtra,Karnataka,Telangana,0,1.25,39.26,Low,4444
781581,31,DMI,351,5.3,4,164.3,3,Active,,,4,West,Retail Banking Group,Mumbai,Tamil Nadu,Telangana,Uttar Pradesh,0,1.93,27.31,Low,7777
354993,32,ALT,651,12.2,9,390.4,3,Active,,,0,South,Retail Banking Group,Chennai,Uttar Pradesh,Uttar Pradesh,Telangana,0,0.6,28.28,Low,9999
773663,40,SO,585,1.7,1,220.0,3,Active,,,8,North,Credit,New Delhi,Karnataka,Telangana,West Bengal,0,4.95,27.45,Low,7777
899690,23,CM,1887,6.7,8,154.1,3,Active,,,3,West,Retail Banking Group,Mumbai,Karnataka,Maharashtra,Karnataka,0,1.76,35.39,Low,1111
183720,47,AMII,298,4.6,3,216.2,3,Active,,,2,West,Retail Banking Group,Mumbai,Maharashtra,West Bengal,Maharashtra,0,2.1,58.61,Medium,1111
646843,45,MMII,1517,9.3,7,418.50000000000006,3,Active,,,7,West,Retail Banking Group,Mumbai,Karnataka,Tamil Nadu,Gujarat,0,1.79,34.37,Low,9999
161769,32,AMI,105,7.9,2,252.8,2,Active,,,1,North,Retail Banking Group,New Delhi,Karnataka,Uttar Pradesh,Gujarat,0,4.11,12.76,Low,9999
753483,44,MMI,1922,5.8,6,255.2,3,Active,,,6,North,Transaction Banking,New Delhi,Maharashtra,Tamil Nadu,Delhi,0,2.82,42.84,Medium,4444
454854,22,DMI,997,6.7,4,147.4,3,Active,,,4,North,Operations Group,New Delhi,Karnataka,West Bengal,Delhi,0,4.04,42.3,Medium,9999
496323,32,CM,1484,8.2,8,262.4,3,Active,,,3,East,Transaction Banking,Kolkata,West Bengal,Telangana,Telangana,0,1.28,31.63,Low,3333
721692,35,DMII,904,1.4,5,49.0,3,Active,,,5,North,Credit,New Delhi,Delhi,West Bengal,Tamil Nadu,0,1.44,32.18,Low,7777
562418,29,DMII,1445,0.2,5,5.800000000000001,3,Active,,,5,North,Retail Banking Group,New Delhi,Uttar Pradesh,West Bengal,West Bengal,1,2.19,45.03,Medium,6666
166701,42,CM,1283,6.5,8,273.0,3,Active,,,3,North,Retail Banking Group,New Delhi,Delhi,Gujarat,Gujarat,0,0.83,55.2,Medium,8888
919601,30,DMII,460,0.4,5,12.0,3,Active,,,5,East,Wholesale Banking,Kolkata,Maharashtra,Gujarat,Gujarat,0,0.98,31.25,Low,9999
648138,22,SO,1364,0.5,1,50.599999999999994,3,Active,,,8,North,Wholesale Banking,New Delhi,Tamil Nadu,Tamil Nadu,Karnataka,0,10.2,33.01,Low,5555
332762,57,DMII,167,7.7,5,438.9,2,Active,,,5,West,Operations Group,Mumbai,Uttar Pradesh,Telangana,Telangana,0,0.98,23.84,Low,1111
304794,36,DMII,459,0.9,5,32.4,3,Active,,,5,North,Operations Group,New Delhi,Maharashtra,Maharashtra,Delhi,0,0.95,20.51,Low,3333
981087,22,ALT,1312,15.0,9,330.0,3,Active,,,0,West,Operations Group,Mumbai,Tamil Nadu,Karnataka,Gujarat,0,1.45,32.75,Low,8888
246201,26,AMII,1244,2.2,3,57.2,3,Active,,,2,West,Wholesale Banking,Mumbai,Delhi,Telangana,Telangana,76,4.84,75.74,High,6666
493092,37,ALT,49,12.0,9,444.0,1,Active,,,0,West,Operations Group,Mumbai,Maharashtra,Telangana,Maharashtra,0,0.34,18.03,Low,8888
192453,23,DMI,264,6.6,4,151.8,3,Active,,,4,East,Transaction Banking,Kolkata,Uttar Pradesh,Tamil Nadu,Tamil Nadu,0,2.19,32.36,Low,9999
176521,40,AMI,520,5.3,2,212.0,3,Active,,,1,East,Wholesale Banking,Kolkata,Uttar Pradesh,Gujarat,Uttar Pradesh,1,4.25,33.86,Low,4444
381705,57,MMI,1341,5.4,6,307.8,3,Active,,,6,East,Retail Banking Group,Kolkata,Gujarat,Telangana,West Bengal,0,1.45,43.0,Medium,1111
968744,53,AMI,612,0.5,2,26.5,3,Active,,,1,North,Retail Banking Group,New Delhi,West Bengal,Maharashtra,Uttar Pradesh,0,2.69,42.88,Medium,1111
431096,54,MMII,1223,6.6,7,356.4,3,Active,,,7,West,Retail Banking Group,Mumbai,Karnataka,Karnataka,West Bengal,0,1.02,49.06,Medium,4444
731213,53,SO,1511,0.5,1,360.4,3,Active,,,8,East,Credit,Kolkata,Tamil Nadu,Tamil Nadu,Tamil Nadu,0,7.96,28.24,Low,7777
394867,38,MMI,929,1.7,6,64.6,3,Active,,,6,East,Retail Banking Group,Kolkata,Gujarat,Maharashtra,Karnataka,0,0.98,38.19,Low,2222
724144,56,AMI,1057,2.0,2,112.0,3,Active,,,1,North,Wholesale Banking,New Delhi,Karnataka,Delhi,Telangana,0,4.16,28.23,Low,3333
839473,57,CM,826,6.3,8,359.1,3,Active,,,3,East,Operations Group,Kolkata,Karnataka,West Bengal,West Bengal,0,0.47,31.62,Low,1111
978433,28,CM,1547,9.6,8,268.8,3,Active,,,3,North,Retail Banking Group,New Delhi,Maharashtra,Maharashtra,Delhi,0,1.58,41.81,Medium,5555
178476,38,MMI,1962,4.1,6,155.8,3,Active,,,6,South,Transaction Banking,Chennai,Karnataka,Telangana,Tamil Nadu,0,2.75,27.74,Low,1111
265756,50,DMII,950,5.4,5,270.0,3,Active,,,5,East,Wholesale Banking,Kolkata,West Bengal,Delhi,Gujarat,0,1.69,51.75,Medium,8888
921884,31,DMI,524,2.4,4,74.39999999999998,3,Active,,,4,South,Retail Banking Group,Chennai,Uttar Pradesh,Tamil Nadu,Gujarat,0,1.77,23.54,Low,1111
623248,29,AMI,594,2.2,2,63.8,3,Active,,,1,North,Retail Banking Group,New Delhi,Gujarat,West Bengal,Maharashtra,0,4.06,55.45,Medium,1111
415959,55,ALT,921,10.2,9,561.0,3,Active,,,0,West,Credit,Mumbai,Karnataka,Gujarat,West Bengal,0,0.48,41.88,Medium,2222
328532,23,DMI,301,3.8,4,87.39999999999998,3,Active,,,4,East,Retail Banking Group,Kolkata,Maharashtra,Maharashtra,Maharashtra,0,1.82,19.15,Low,2222
520198,57,MMII,1430,9.2,7,524.4,3,Active,,,7,North,Credit,New Delhi,West Bengal,Uttar Pradesh,Karnataka,0,1.42,24.18,Low,6666
771452,41,SO,821,1.7,1,303.4,3,Active,,,8,West,Retail Banking Group,Mumbai,Delhi,West Bengal,Karnataka,0,5.88,29.51,Low,7777
